Euring,englishname,HabFinal,Vetenskapligt.namn
1860,Mallard,MAA2,Anas platyrhynchos
2030,Tufted_duck,M,Aythya fuligula
2120,Long-tailed_duck,M,Clangula hyemalis
2210,Red-breasted_merganser,M,Mergus serrator
3290,Willow_grouse,MvFA,Lagopus lagopus
3300,Ptarmigan,M,Lagopus muta
4700,Ringed_plover,M,Charadrius hiaticula
4820,Dotterel,MA,Charadrius morinellus
4820,Dotterel,MA,Eudromias morinellus
4850,Golden_plover,MA,Pluvialis apricaria
5020,Temminck's_stint,M,Calidris temminckii
5100,Purple_sandpiper,M,Calidris maritima
5120,Dunlin,M,Calidris alpina
5170,Ruff,MA,Calidris pugnax
5170,Ruff,MA,Philomachus pugnax
5180,Jack_snipe,M,Lymnocryptes minimus
5190,Snipe,MARadWe2,Gallinago gallinago
5380,Whimbrel,MA,Numenius phaeopus
5450,Spotted_redshank,MA,Tringa erythropus
5460,Redshank,MA,Tringa totanus
5540,Wood_sandpiper,MARadWe2,Tringa glareola
5640,Red-necked_phalarope,M,Phalaropus lobatus
5680,Long-tailed_skua,M,Stercorarius longicaudus
5900,Common_gull,MARadWa2A2,Larus canus
6160,Arctic_tern,M,Sterna paradisaea
7240,Cuckoo,MvDARadWe2A2,Cuculus canorus
10110,Meadow_pipit,MA,Anthus pratensis
10170,Yellow_wagtail,MA,Motacilla flava
10500,Dipper,M,Cinclus cinclus
11060,Bluethroat,MvDA,Luscinia svecica
11370,Whinchat,MDARadWe2A2,Saxicola rubetra
11460,Wheatear,MAWa2A2,Oenanthe oenanthe
11860,Ring_ouzel,MDA,Turdus torquatus
11980,Fieldfare,MvFAA2,Turdus pilaris
12010,Redwing,MvFA,Turdus iliacus
13120,Willow_warbler,MvFA,Phylloscopus trochilus
15720,Raven,MDA,Corvus corax
16630,Common_redpoll,MvDARad,Acanthis flammea
16630,Common_redpoll,MvDARad,Carduelis flammea
18470,Lapland_bunting,MA,Calcarius lapponicus
18500,Snow_bunting,MA,Plectrophenax nivalis
18770,Reed_bunting,MAWa2We2A2,Emberiza schoeniclus
18770,Reed_bunting,MAWa2We2A2,Schoeniclus schoeniclus
